subject_id,topic_id,atomic_topic_id,question_id,question,a,b,c,answer,aolution,image_q,image_a,difficulty,question_type,Mock,Session
4,20,22,Q1,Which of the following statements about a code of ethics is most accurate? A code of ethics:,does not need to include standards of conduct.,must include principles-based standards of conduct.,must include rules-based standards of conduct.,B,The Answer is B .Code of ethics must include principles-based standards of conduct.,,,Easy,Conceptual,A,1
4,20,22,Q2,Which of the following statements about legal and ethical standards is most accurate?,"Ethical and legal standards often intersect, but not always.",Ethical standards are a subset of legal standards.,Legal standards are a subset of ethical standards.,A,"The Answer is A .Ethical and legal standards often intersect, but not always.",,,Easy,Conceptual,A,1
4,20,22,Q3,A requirement that investment professionals act in the best interests of their clients is a:,fair dealing standard.,suitability standard.,fiduciary standard.,C,The Answer is C .A fiduciary standard requires professionals to act in the best interests of their clients.,,,Easy,Conceptual,A,1
4,20,22,Q4,A framework for ethical decision making is most appropriately applied to:,aid decision makers in considering alternatives and their potential impacts.,determine whether actions are legal.,reduce the need to maintain a large compliance department.,A,The Answer is A .A framework for ethical decision-making aids in considering alternatives and their potential impacts.,,,Easy,Conceptual,A,1
4,20,22,Q5,A requirement that investment professionals recommend securities that match their clients' requirements and constraints is a:,portfolio standard.,fiduciary standard.,suitability standard.,C,The Answer is C. A suitability standard matches client requirements and constraints.,,,Easy,Conceptual,B,1
4,20,21,Q6,Unethical behavior by individuals in the investment industry is most likely to:,decrease the rate of economic growth.,increase the overall profits of financial services firms.,decrease financing costs for businesses.,A,The Answer is A. Unethical behavior by individuals decreases economic growth.,,,Easy,Conceptual,,1
4,20,22,Q7,Standards of conduct are most accurately described as:,a necessary part of any ethical code.,giving members of a group a minimum level of acceptable behavior.,providing the public with the values and general expectations for a group of professionals.,B,The Answer is B .Standards of conduct give minimum acceptable behavior levels.,,,Easy,Conceptual,,1
4,20,22,Q8,Unethical behavior by a financial professional harms:,only clients.,only clients and other employees.,"clients, other employees, and society.",C,"The Answer is C .Unethical behavior harms clients, employees, and society.",,,Easy,Conceptual,B,1
4,20,22,Q9,Unethical behavior by financial professionals:,does not affect allocation of capital.,increases risk and the cost of capital.,increases incomes for the profession.,B,The Answer is B .Unethical behavior increases risk and the cost of capital.,,,Easy,Conceptual,B,1
4,20,22,Q10,Ethics are most accurately defined as:,a belief about proper conduct.,a written code of standards.,the study of moral principles.,C,The Answer is C .Ethics refers to the study of moral principles.,,,Easy,Conceptual,,1
4,20,22,Q11,Ethics least likely refers to:,moral principles to guide behavior.,a person’s beliefs about right and wrong behavior.,the study of good and bad behavior.,B,The Answer is B .Ethics least likely refers to personal beliefs about right and wrong.,,,Easy,Conceptual,,1
